URL	Author	datePublished	claimReviewed	reviewBody	title	ratingValue	bestRating	alternativeName
httpspiauifolhauolcombrlupaverificamosacusacoesglennmirandajean	httpspiauifolhauolcombrlupa	2019-06-13 08:00:34	david miranda acusado terrorismo grãbretanha	empti	verificamo imagem faz acusaçõ falsa contra glenn greenwald david miranda jean wylli	4.0	6	falso
httpsaosfatosorgnoticiasnaoeverdadequemaridodemarinasilvaeumdosmaioresdesmatadoresdaamazonia	httpswwwaosfatosorg	2018-08-31	mil tora mogno apreendida valor milhõ maior desmatador amazônia marido marina silva	além falso marido marina silva desmatador conteúdo traz informaçõ incorretassobr doação ibama tora mogno apreendida ong ligaçõ grupo fundado marido candidata verdad r milhõ citado imagem dizem respeito estimativa contabilidad madeireira acab adquirir materi r milhõ acordo investigação tcu tribun conta união mpf ministério público feder encontr indício participação fábio vaz transação ong empresa	verdad marido marina silva maior desmatador amazônia fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosmouraopunicaomoro	httpspiauifolhauolcombrlupa	2019-06-10 15:40:00	mourão diz conspiração sergio moro grave pede punição	empti	verificamo mourão pediu punição moro apó reportagem sobr conversa aplicativo	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosplacasmercosul	httpspiauifolhauolcombrlupa	2018-11-28 15:48:11	sabia toda arrecadação veículo mercosul destinado entidad internacion mercosul renac sabe renac renac reconstrucción nacion cuba	empti	verificamo receita placa mercosul vai organização cubana	4.0	6	falso
httpspiauifolhauolcombrlupaverificamospadrearma	httpspiauifolhauolcombrlupa	2019-03-15 19:03:25	arma matam mata ausência amor	empti	verificamo falso padr fábio melo escrito arma matam	4.0	6	falso
httpsapublicaorgtrucoemartigoescritodaprisaoluladistorcedado	httpsapublicaorg	2018-05-25	pobreza aumentado	artigo le mond expresident luiz inácio lula silva pt diss pobreza aumentado	artigo escrito prisão lula distorc dado agência pública	3.0	8	falso
httpsapublicaorgtrucocirogomesexageradadossobretrabalhoimpostoseseguranca	httpsapublicaorg	2018-07-27	previdência despesa financeira levam metad orçamento paí	candidato presidência ciro gome pdt afirm previdência despesa financeira levam metad orçamento paí	ciro gome exagera dado sobr trabalho imposto segurança agência pública	7.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamosoabgadelha	httpspiauifolhauolcombrlupa	2019-01-03 17:45:27	parabén oab intensificar fiscalização governo bolsonaro irá permitir deputado tulho gadeia sic namorado fátima bernard inscrição necessidad realização prova exam ordem dada agenda deputado dificuldad aprovação	empti	verificamo oab concedeu título advogado deputado feder exam ordem	4.0	6	falso
httpspiauifolhauolcombrlupaverificamoseconomistlula	httpspiauifolhauolcombrlupa	2019-04-26 17:40:21	lula eleito revista inglesa the economist maior ladrão mundo	empti	verificamo falsa capa the economist coloca lula político corrupto mundo	4.0	6	falso
httpsaosfatosorgnoticiaslulanaorecebeuvisitadefalsopadrefotoedeprisaorealizadaem	httpswwwaosfatosorg	2019-05-14	pt tão sacana padr visitar lula falso kkkk falso padr detido visitar lula ninguém ainda explic quai verdadeira intençõ falso padr entrou visitar lula ruben miguel silva ano preso anteriorment tráfico agredir doi oficiai reserva frent clube militar registrada apena vint quatro viagen internacionai cuba venezuela	foto prisão ruben miguel silva tentou embarcar avião vestido padr trê quilo cocaína escondido sido compartilhada rede sociai falso sacerdot detido apó visitaro expresident luiz ináciolula silva ptna prisão	lula recebeu visita falso padr foto mostra prisão realizada fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosadvogadohaddadagressorbolsonaro	httpspiauifolhauolcombrlupa	2018-10-25 20:55:16	kakay quatro advogado adélio bispo lado haddad	empti	verificamo falso advogado apoia haddad defenda agressor bolsonaro	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosvagashoteisbrasilia	httpspiauifolhauolcombrlupa	2018-11-26 17:39:26	vaga hotéi brasília poss president	empti	verificamo falso vaga hotéi brasília poss bolsonaro	4.0	6	falso
