URL	Author	datePublished	claimReviewed	reviewBody	title	ratingValue	bestRating	alternativeName
httpsaosfatosorgnoticiasdilmanaoconfundiujohnlennoncomelvispresleynoinstagramlegendaefalsa	httpswwwaosfatosorg	2019-02-13	dilma rousseff senti pertinha elvi	expresident dilma rousseff pt confundiu john lennon elvi presley publicação instagram post circulam rede sociai trazem montagem adultera legenda petista foto lado estátua músico beatl pub cavern club liverpool postagem origin julho diz hoje dia rock bebê senti pertinha elvi consta peça desinformação	dilma confundiu john lennon elvi presley instagram legenda falsa fato	1.0	5	falso
httpsapublicaorgtrucooenigmadasvidassalvaspelaleimariadapenha	httpsapublicaorg	2016-08-08	mil mulher hoje viva graça eficácia lei maria penha muita coisa	senadora simon tebet pmdbm president comissão mista combat violência contra mulher afirm mil mulher hoje viva graça lei maria penha	enigma vida salva lei maria penha agência pública	1.0	8	falso
httpsapublicaorgtrucoaldorebelousadadosfalsossobregolpedecopaeamazonia	httpsapublicaorg	2018-06-08	rio grand sul plantador arroz licenciar produção todo ano usina nuclear angra rei licenciamento anual imposiçõ dificultam	presidenciável aldo rebelo sd afirm rio grand sul plantador arroz licenciar produção todo ano usina nuclear angra rei licenciamento anual	aldo rebelo usa dado falso sobr golp copa amazônia agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamoscapavejabolsonaro	httpspiauifolhauolcombrlupa	2018-10-27 13:24:14	bolsonaro chegando poder acabarei tudo pt fez imagem	empti	verificamo falsa capa veja bolsonaro diz acabará tudo pt fez	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosponterachadurario	httpspiauifolhauolcombrlupa	2019-05-16 20:19:57	rachadura aumentando peça amigo familiar utilizar segunda pont vila velha vitória prest cair causar acident grand dimensõ espírito santo deve notícia breve	empti	verificamo falsa foto pont espírito santo prest cair causa rachadura	4.0	6	falso
httpsaosfatosorgnoticiascirogomesnaogarantiuquevaidiminuirsalariosdemedicossitedistorceinformaco	httpswwwaosfatosorg	2018-06-06	ciro gome garant vai diminuir salário médico caso chegu planalto	verdad ciro gome garant vai diminuir salário médico caso chegu planaltoa postagem sustenta afirmação base vídeo trecho entrevista concedida ciro gome estudant argentina junho nela ciro atual précandidato pdt presidência república tece crítica nível remuneração médico interior brasil classificado realidad suger genericament ponder orçamento discriminado recurso humano nenhum momento porém garant eleito president reduzirá salário médico	ciro gome garantiu vai diminuir salário médico site distorc informaçõ fato	1.0	5	falso
httpsapublicaorgtrucoverdadesementirasmisturamseemcorrentecontrahaddad	httpsapublicaorg	2018-10-18	haddad deixou rombo r bilhõ paulo	corrent circula whatsapp diz haddad deixou rombo r bilhõ paulo	verdad mentira misturams corrent contra haddad agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamoslistabolsonaro	httpspiauifolhauolcombrlupa	2019-04-17 07:00:57	criou centro pesquisa resolv problema seca nordest	empti	verificamo publicação lista açõ bolsonaro trê mese sete verdadeira	4.0	6	falso
httpsaosfatosorgnoticiasefalsoquehaddadcrioukitgayparacriancasdeseisano	httpswwwaosfatosorg	2018-10-10	haddad criador kit gay criança sei ano	imagem vídeo corrent rede sociai acusam fernando haddad criar kit gay criança sei ano partem fato real polêmica torno projeto escola homofobia petista ministro educação disseminar dua informaçõ falsa materi destinado criança sei ano adolescent préadolescent rede pública ensino materi criado haddad produzido iniciativa organizaçõ nãogovernamentai ligada causa lgbt verba oriunda emenda parlamentar	falso haddad criou kit gay criança sei ano fato	1.0	5	falso
httpsapublicaorgtrucoemeconomiabolsonarocitadadosfalsosehaddadsubestimaeacerta	httpsapublicaorg	2018-10-26	aí questão metodologia ibg sobr número desempregado procura emprego tido empregado ano passado trabalh doi trê dia tido empregado receb auxíliodesemprego tido empregado	jair bolsonaro psl live realizada facebook empresário luciano hang diss questão metodologia ibg sobr número desempregado procura emprego tido empregado ano passado trabalh doi trê dia tido empregado receb auxíliodesemprego tido empregado	economia bolsonaro cita dado falso haddad subestima acerta agência pública	1.0	8	falso
httpsaosfatosorgnoticiasefalsoquepoliticosnaopagamirnemcontribuemparaaprevidencia	httpswwwaosfatosorg	2019-02-28	sabia vereador deputado governador senador pagam imposto renda contribuem previdência	verdad vereador deputado governador senador pagam imposto renda contribuem previdência social hoje ir dess político descontado folha pagamento repassam part salário contribuiçõ inss pssc plano seguridad social congressista regim previdenciário próprio	falso político pagam ir contribuem previdência fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosnaoedavenezuela	httpspiauifolhauolcombrlupa	2019-02-19 17:58:10	governo venezuelano mostrando mundo aluno recebem merenda precisam ajuda humanitária	empti	verificamo venezuela vídeo mostra fraud entrega merenda criança	4.0	6	falso
httpsaosfatosorgnoticiaslivroinfantilquetratadeincestonaofoidistribuidopelomecnagestaohaddad	httpswwwaosfatosorg	2018-10-04	tal estimular relação sexual pai filha espantoesta leitura disponibilizada ministro educação haddad enquanto frent dest ministério	enganosa mensagensd vídeo textoqu circulam rede sociai diz candidato fernando haddad pt disponibiliz livro trata tema incesto criança durant gestão ministério educação exemplar enquanto sono vem selecionado órgão período henriqu paim comandava ministério nesta época haddadera prefeitod paulo	livro infantil trata incesto distribuído mec gestão haddad fato	1.0	5	falso
httpsapublicaorgtrucomarinasilvaomiteprocessosmasacertasobremeioambient	httpsapublicaorg	2018-05-11	ano vida pública nenhum processo contra mim	entrevista jovem pan marina silva afirm nenhum processo contra ano vida pública	marina silva omit processo acerta sobr meio ambient agência pública	1.0	8	falso
httpsapublicaorgtrucochecamosfrasessobreimpeachmenteplanosdetem	httpsapublicaorg	2016-04-29	encontras nesta casa pedido impeach vicepresident michel temer pedido tendo tratamento dado pedido impeach presidenta dilma	deputado feder paulo pimenta ptr afirm pedido impeach vicepresident michel temer câmara tendo tratamento dado pedido impeach president dilma rousseff	checamo frase sobr impeach plano temer agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucoerroseacertosdoscandidatosemfrasessobresaud	httpsapublicaorg	2018-08-15	saúd drena maior quantidad recurso prefeitura	evento promovido frent nacion prefeito fnp marina silva rede afirm saúd drena maior quantidad recurso prefeitura	erro acerto candidato frase sobr saúd agência pública	1.0	8	falso
httpsaosfatosorgnoticiasvideodejornalistaviralizanasredescomosefossedevitimadebrumadinho	httpswwwaosfatosorg	2019-02-01	olha dono pousada brumadinho	homem vídeo intitulado gent vai embora dono pousada morreu desastr brumadinho dia janeiro gravação verdad traz leitura sergio cursino jornalista redetv márcio mascarenha empresário fato morto lama	vídeo jornalista viraliza rede vítima brumadinho fato	1.0	5	falso
httpsapublicaorgtrucoverdadesementirasmisturamseemcorrentecontrahaddad	httpsapublicaorg	2018-10-18	addad acusado improbidad ação investiga desvio r milhõ theatro municip	corrent circula whatsapp diz haddad acusado improbidad ação investiga desvio r milhõ theatro municip	verdad mentira misturams corrent contra haddad agência pública	8.0	8	verdadeiro
httpspiauifolhauolcombrlupaverificamostemerfarmacia	httpspiauifolhauolcombrlupa	2018-05-24 17:00:25	temer oficializa fim projeto farmácia popular	empti	verificamo temer oficializa fim projeto farmácia popular	4.0	6	falso
httpsapublicaorgtrucoexageroseimprecisoesmarcamdiscursodelulaemcaravana	httpsapublicaorg	2017-11-21	president fez universidad história dest paí	discurso encerramento caravana mina gerai expresident luiz inácio lula silva afirm president fez universidad história paí	exagero imprecisõ marcam discurso lula caravana agência pública	8.0	8	verdadeiro
httpspiauifolhauolcombrlupaverificamosmendigosiptu	httpspiauifolhauolcombrlupa	2019-05-21 18:24:50	mendigo vai ficar pagar iptu chegademamata	empti	verificamo montagem foto manifestant exigindo mendigo paguem iptu	4.0	6	falso
httpsapublicaorgtrucoumacorrentedewhatsapppodeatingirtodososbrasileiro	httpsapublicaorg	2017-03-06	passar mensagem pessoa breve notícia atingirá todo brasileiro	muita corrent viralizam whatsapp afirmam basta passar mensagem pessoa atingirá todo brasileiro pouco tempo	corrent whatsapp pode atingir todo brasileiro agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamoscapavejabolsonaro	httpspiauifolhauolcombrlupa	2019-07-03 14:37:21	bolsonaro sabiam pó	empti	verificamo falsa capa veja afirma família bolsonaro sabia pó	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosbolsonaroingles	httpspiauifolhauolcombrlupa	2019-04-16 20:03:36	pessoalment consternado incêndio atingiu catedr notredam símbolo cultura ocident fé cristã solidarizo todo ingles ness momento tão difícil doloroso	empti	verificamo falso bolsonaro manifest solidariedad ingles incêndio frança	4.0	6	falso
httpsaosfatosorgnoticiasvideomostratorcidadobahiaemnaomanifestacaolulalivr	httpswwwaosfatosorg	2019-04-16	povão sic querem lula	vídeo mostra multidão torcedor volta ônibu bahia ant primeira partida time final campeonato brasileiro ano passado arena font nova salvador sido veiculado rede sociai registrass manifestação recent soltura expresident luiz inácio lula silva pt	vídeo mostra torcida bahia manifestação lula livr fato	1.0	5	falso
httpsaosfatosorgnoticiasparafavorecerdesempenhodelulapaginaomitequepesquisafoifeitasoemmg	httpswwwaosfatosorg	2018-07-25	pesquisa aponta lula ponto vitória primeiro turno	site plantão brasil distorceu notícia jornal mineiro tempo postagem intitulada pesquisa aponta lula ponto vitória primeiro turno publicadanesta segundafeira contrário suger resultado mencionado página diz respeito levantamento feito soment estado mina gerai brasil todo informação relevant consta texto	favorec desempenho lula página omit pesquisa feita mg fato	2.0	5	falso
httpsaosfatosorgnoticiasagressaocometidaporexvereadordodemfalsamenteatribuidajoserainha	httpswwwaosfatosorg	2018-09-17	vereador josérainha pt bateu repórter cena saiu nenhum jornal rádio canal tv	tweet publicado nest domingo acusa ativista josé rainha exlíder mst movimento terra agressão verdad cometida exvereador pont lacerda mt lourivaldo rodrigu mora dem conhecido kirrarrinha acompanhado vídeo texto post afirma rainha bateu repórter cena saiu nenhum jornal rádio canal tv democracia liberdad imprensa pt defend	agressão cometida exvereador dem falsament atribuída josé rainha fato	1.0	5	falso
httpsapublicaorgtrucoexageroseimprecisoesmarcamdiscursodelulaemcaravana	httpsapublicaorg	2017-11-21	formalizamo milhõ micro pequena empresa	discurso encerramento caravana mina gerai expresident luiz inácio lula silva afirm formaliz milhõ micro pequena empresa	exagero imprecisõ marcam discurso lula caravana agência pública	8.0	8	verdadeiro
httpsaosfatosorgnoticiasmortedebombeiroduranteresgateembrumadinhoenoticiafalsa	httpswwwaosfatosorg	2019-02-05	urgent morr bombeiro resgat sobrevivent brumadinhomg	falsa notícia mort bombeiro durant resgat vítima desastr brumadinho mg veiculada blog folha governo disseminada rede sociai informação enganosa desmentida corpo bombeiro mina gerai facebook conteúdo falso passava mil compartilhamento nesta terçafeira	mort bombeiro durant resgat brumadinho notícia falsa fato	1.0	5	falso
httpsapublicaorgtrucomarinasilvausadadosfalsoseimprecisosemdiscurso	httpsapublicaorg	2017-12-19	outro país américa latina acrescentado quatro cinco sei ano escolaridad aumenta produtividad pessoa ficam eficient brasil aumentaram ano escolaridad produtividad continu mesma	discurso apresentação précandidatura presidência marina silva rede afirm aumento escolaridad brasil vem acompanhada crescimento produtividad	marina silva usa dado falso impreciso discurso agência pública	1.0	8	falso
httpsapublicaorgtrucofrasesdoscandidatosapresidentesobreeconomia	httpsapublicaorg	2018-08-14	governo pt aumentaram salário mínimo	luiz inácio lula silva pt diss governo pt aumentaram salário mínimo	frase candidato president sobr economia agência pública	6.0	8	inconclusivo
httpsaosfatosorgnoticiascorrentedewhatsappsobreataquebolsonaroenovaversaodevelhateoriadaconspiracao	httpswwwaosfatosorg	2018-09-10	facada bolsonaro divulgado escndalo todo mundo suspeitava talvez expliqu razão jornalista jorg kajuru ter declarado seguint frase pessoa soubessem aconteceu juiz ficariam enojada	texto nada nova versão teoria conspiração surgida copa mundo portanto história falsa tampouco gunther schweitzer diretor jornalismo agência reuter	corrent whatsapp sobr ataqu bolsonaro nova versão velha teoria conspiração fato	1.0	5	falso
httpsapublicaorgtrucocorrentesdewhatsappespalhaminformacoesfalsassobrefebreamarela	httpsapublicaorg	2018-02-06	grand parcela população brasileira imun víru febr amarela ter contraído doença anteriorment	corrent whatsapp sobr febr amarela diz grand parcela população brasileira imun víru ter contraído doença anteriorment	corrent whatsapp espalham informaçõ falsa sobr febr amarela agência pública	1.0	8	falso
httpsapublicaorgtrucoexageroseimprecisoesmarcamdiscursodelulaemcaravana	httpsapublicaorg	2017-11-21	dando bilhõ joesley comprar empresa estado unido argentina dando gerdau comprar siderúrgica colômbia gent vai ajudar paí	discurso encerramento caravana mina gerai expresident luiz inácio lula silva afirm	exagero imprecisõ marcam discurso lula caravana agência pública	6.0	8	inconclusivo
httpsapublicaorgtrucooqueefalsoouverdadeiroemcorrentecontrabolsonaro	httpsapublicaorg	2018-10-18	bolsonaro acusado enriquecimento ilícito atravé máquina pública	corrent afirma bolsonaro acusado enriquecimento ilícito atravé máquina pública	falso verdadeiro corrent contra bolsonaro agência pública	1.0	8	falso
httpspiauifolhauolcombrlupaverificamospolicialesfaqueada	httpspiauifolhauolcombrlupa	2019-06-19 14:38:28	manifestação vermelha reún viciado vagabundo bandido vândalo terrorista criminoso	empti	verificamo falso polici esfaqueada manifestant	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosfazendafilholulacampu	httpspiauifolhauolcombrlupa	2019-01-17 13:30:59	fazenda filho lula orçada milhõ reai	empti	verificamo fazenda r milhõ filho lula verdad campu universitário piracicaba	4.0	6	falso
httpsaosfatosorgnoticiasptnaopublicoufotodogalodamadrugadacomosefossedeatoprohaddad	httpswwwaosfatosorg	2018-09-25	multidão petista dizendo pt verdad desfil bloco galo madrugada	verdad doi evento sequer aconteceram mesmo lugar fato constat analisar ferramenta googl street view locai mostrado foto passeata pt bloco carnavalesco além observar caminho percorrido galo madrugada	pt public foto galo madrugada ato próhaddad fato	1.0	5	falso
